timestamp,x,y,z,j.0,j.1,j.2,j.3,j.4,j.5,d_j.0,d_j.1,d_j.2,d_j.3,d_j.4,d_j.5
4.189999999999955,0.052163078977928476,-0.02068663541808903,-0.25,-0.3775513470172882,-1.0737510936574406,3.1400971633771793,-3.141592653589793,-0.576919713958683,-1.1932449797776083,0.0,0.0,0.0,0.0,0.0,0.0
4.199999999999955,0.052332007363543306,-0.021470053897581116,-0.25,-0.3893250823020935,-1.0737699019247522,3.1400892682624413,-3.141592653589793,-0.5769061766331754,-1.181471244492803,0.0,0.0,0.0,0.0,0.0,0.0
4.209999999999955,0.05250720878181765,-0.02225209339563143,-0.25,-0.40084633231163025,-1.0737893065670043,3.1400811436594083,-3.141592653589793,-0.5768922278865064,-1.1699499944832663,0.0,0.0,0.0,0.0,0.0,0.0
4.2199999999999545,0.0526886719798918,-0.023032703683304324,-0.25,-0.4121142625808716,-1.0738092970587036,3.140072795814211,-3.141592653589793,-0.5768778768569015,-1.1586820642140252,0.0,0.0,0.0,0.0,0.0,0.0
4.229999999999954,0.052876385302723636,-0.0238118346234598,-0.25,-0.42312848567962646,-1.073829863950234,3.1400642302828086,-3.141592653589793,-0.5768631317044136,-1.14766784111527,0.0,0.0,0.0,0.0,0.0,0.0
4.239999999999954,0.05307033669383719,-0.024589436173973408,-0.25,-0.433889240026474,-1.0738509987194078,3.140055453208797,-3.141592653589793,-0.5768480007563204,-1.1369070867684228,0.0,0.0,0.0,0.0,0.0,0.0
4.249999999999954,0.053270513696097074,-0.025365458390950713,-0.25,-0.44439697265625,-1.0738726874250126,3.1400464697394366,-3.141592653589793,-0.5768324934453875,-1.1263993541386466,0.0,0.0,0.0,0.0,0.0,0.0
4.259999999999954,0.05347690345250844,-0.026139851431934754,-0.25,-0.45465266704559326,-1.0738951095473723,3.140037273901747,-3.141592653589793,-0.576816539860487,-1.1161436597493033,0.0,0.0,0.0,0.0,0.0,0.0
4.269999999999953,0.05368949270704297,-0.026912565559107655,-0.25,-0.46465766429901123,-1.0739176989349684,3.1400279081129217,-3.141592653589793,-0.5768003806761213,-1.1061386624958853,0.0,0.0,0.0,0.0,0.0,0.0
4.279999999999953,0.05390826780549006,-0.027683551142484927,-0.25,-0.4744134843349457,-1.0739410010488157,3.1400183409332705,-3.141592653589793,-0.5767837920700254,-1.096382842459951,0.0,0.0,0.0,0.0,0.0,0.0
4.289999999999953,0.05413321469633395,-0.028452758663103206,-0.25,-0.48392218351364136,-1.073964820438798,3.1400085899989953,-3.141592653589793,-0.5767668596868445,-1.0868741432812554,0.0,0.0,0.0,0.0,0.0,0.0
4.299999999999953,0.054364318931656205,-0.029220138716200918,-0.25,-0.4931859076023102,-1.073989150638166,3.1399986613095017,-3.141592653589793,-0.5767495909885821,-1.0776104191925866,0.0,0.0,0.0,0.0,0.0,0.0
4.3099999999999525,0.05460156566806362,-0.029985642014391124,-0.25,-0.5022071599960327,-1.0740139783238227,3.1399885594918615,-3.141592653589793,-0.576731994740414,-1.0685891667988638,0.0,0.0,0.0,0.0,0.0,0.0
4.319999999999952,0.05484493966764167,-0.030749219390827528,-0.25,-0.5109885931015015,-1.0740392975204642,3.139978290285436,-3.141592653589793,-0.5767140780047346,-1.059807733693395,0.0,0.0,0.0,0.0,0.0,0.0
4.329999999999952,0.05509442529893313,-0.031510821802362025,-0.25,-0.5195331573486328,-1.0740650984606201,3.1399678586909836,-3.141592653589793,-0.5766958485821592,-1.0512631694462637,0.0,0.0,0.0,0.0,0.0,0.0
4.339999999999952,0.05535000653794213,-0.03227040033269496,-0.25,-0.5278438925743103,-1.0740913719251264,3.1399572696894538,-3.141592653589793,-0.5766773140584016,-1.0429524342205865,0.0,0.0,0.0,0.0,0.0,0.0
4.349999999999952,0.055611666969163254,-0.033027906195516696,-0.25,-0.535923957824707,-1.0741181085960747,3.139946528230851,-3.141592653589793,-0.5766584820284026,-1.0348723689701895,0.0,0.0,0.0,0.0,0.0,0.0
4.3599999999999515,0.05587938978663595,-0.03378329073764113,-0.25,-0.54377681016922,-1.074145299872372,3.1399356390322737,-3.141592653589793,-0.5766393596292811,-1.0270195166256766,0.0,0.0,0.0,0.0,0.0,0.0
4.369999999999951,0.05615315779502397,-0.034536505442130744,-0.25,-0.5514058470726013,-1.0741729402549325,3.1399246072778446,-3.141592653589793,-0.5766199532771582,-1.0193904797222955,0.0,0.0,0.0,0.0,0.0,0.0
4.379999999999951,0.056432953410719675,-0.035287501931412495,-0.25,-0.5588147044181824,-1.0742010169501004,3.139913437025502,-3.141592653589793,-0.5766002710597956,-1.0119816223767142,0.0,0.0,0.0,0.0,0.0,0.0
4.389999999999951,0.05671875866297353,-0.036036231970385316,-0.25,-0.5660070180892944,-1.074229525165551,3.1399021333223853,-3.141592653589793,-0.5765803190211019,-1.0047893087056023,0.0,0.0,0.0,0.0,0.0,0.0
4.399999999999951,0.05701055519504823,-0.03678264746951782,-0.25,-0.5729865431785583,-1.0742584552439194,3.13989070021335,-3.141592653589793,-0.5765601041052384,-0.9978097836163383,0.0,0.0,0.0,0.0,0.0,0.0
